attr_categorical0,attr_categorical1,attr_categorical2,attr_categorical3,attr_categorical4,attr_categorical5,target0,target1
d,d,d,d,?,d,19.0,1.0
c,?,c,c,c,c,2.0,19.0
a,d,?,b,c,c,16.0,11.0
c,d,a,c,a,a,7.0,10.0
?,c,c,b,d,c,17.0,2.0
c,c,a,a,b,b,12.0,7.0
c,c,d,d,b,b,6.0,8.0
d,a,c,c,b,d,3.0,13.0
b,d,b,?,?,c,10.0,8.0
b,?,a,a,b,b,4.0,14.0
b,?,d,c,c,d,19.0,16.0
a,b,b,a,c,c,3.0,0.0
c,b,d,b,b,a,15.0,15.0
a,c,?,a,c,d,12.0,6.0
b,c,?,b,c,a,19.0,17.0
a,a,d,c,c,?,11.0,11.0
b,d,c,a,d,b,13.0,6.0
c,b,a,d,?,b,8.0,16.0
b,a,a,b,a,a,5.0,6.0
?,d,b,a,c,d,15.0,5.0
a,b,c,?,?,a,0.0,4.0
c,c,c,?,c,a,4.0,14.0
a,a,a,d,b,b,14.0,15.0
d,?,b,?,b,c,14.0,13.0
?,b,d,b,b,d,3.0,15.0
b,a,d,?,d,?,16.0,2.0
b,d,a,?,d,a,4.0,10.0
?,?,a,a,a,c,0.0,6.0
?,?,?,a,a,a,9.0,19.0
c,c,d,c,b,d,8.0,14.0
d,b,c,b,c,a,12.0,16.0
b,a,d,b,c,a,18.0,3.0
a,b,b,c,d,b,11.0,0.0
b,c,c,d,b,a,18.0,5.0
?,b,?,?,c,c,6.0,18.0
c,b,b,?,a,b,12.0,8.0
b,c,d,a,a,b,5.0,11.0
?,?,b,a,d,c,5.0,7.0
?,d,a,?,d,a,8.0,10.0
b,a,b,d,?,c,12.0,10.0
d,c,c,?,c,b,0.0,15.0
c,a,?,a,b,b,4.0,15.0
b,a,b,d,?,?,17.0,5.0
a,?,d,d,a,c,2.0,14.0
c,b,d,c,c,c,5.0,7.0
?,d,a,d,?,b,6.0,11.0
?,d,c,d,a,c,8.0,17.0
d,c,?,?,b,?,5.0,16.0
b,a,c,d,b,c,17.0,13.0
?,a,?,a,d,d,17.0,4.0
c,a,a,b,b,b,9.0,16.0
c,a,c,b,?,a,18.0,5.0
c,d,a,a,d,c,11.0,16.0
b,d,c,a,?,?,1.0,18.0
c,?,?,?,d,c,3.0,3.0
c,d,b,?,c,a,12.0,8.0
?,b,c,d,?,d,5.0,2.0
b,b,b,b,b,d,3.0,18.0
c,b,c,b,d,d,12.0,11.0
d,?,a,a,c,c,10.0,5.0
?,a,b,a,?,d,10.0,8.0
a,d,b,c,?,?,14.0,7.0
a,a,d,a,?,?,1.0,8.0
d,b,c,d,?,a,15.0,2.0
a,a,?,b,a,a,13.0,4.0
d,d,b,?,?,b,3.0,0.0
a,b,a,?,c,?,5.0,3.0
b,d,b,b,b,c,1.0,17.0
d,?,b,b,d,a,18.0,17.0
?,?,b,d,c,d,7.0,17.0
c,d,a,c,?,b,19.0,10.0
c,c,d,a,a,?,12.0,18.0
b,b,b,a,d,c,13.0,14.0
b,b,c,b,c,?,11.0,0.0
?,a,?,?,b,c,2.0,14.0
c,?,a,?,d,?,11.0,2.0
b,b,a,c,?,?,2.0,4.0
b,d,d,?,c,?,10.0,5.0
c,c,c,d,c,b,16.0,15.0
c,a,c,c,a,b,2.0,5.0
d,a,?,c,c,b,6.0,8.0
c,b,b,a,?,c,15.0,5.0
d,?,?,?,c,b,3.0,0.0
a,b,d,a,a,a,17.0,8.0
b,d,a,?,?,d,16.0,8.0
d,d,a,a,c,b,18.0,11.0
a,d,?,b,?,d,13.0,0.0
?,a,a,?,d,d,9.0,18.0
b,a,?,c,d,c,10.0,0.0
c,b,d,c,d,?,19.0,18.0
b,d,a,a,?,a,19.0,4.0
a,a,d,d,?,c,10.0,11.0
b,c,b,?,?,?,6.0,14.0
a,c,a,?,a,c,9.0,13.0
a,c,b,a,?,b,15.0,3.0
a,a,c,a,a,b,16.0,13.0
c,?,d,b,b,c,18.0,19.0
b,?,a,b,?,d,13.0,4.0
d,d,c,c,?,b,0.0,13.0
?,b,?,a,?,b,2.0,0.0
