attr_categorical0,attr_categorical1,attr_categorical2,attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
a,?,c,25.0,23.0,11.0,14.0,5.0
c,b,a,46.0,NaN,24.0,16.0,7.0
c,c,?,32.0,28.0,24.0,17.0,0.0
b,a,b,26.0,34.0,20.0,2.0,8.0
b,a,a,5.0,29.0,22.0,12.0,17.0
b,c,b,38.0,27.0,23.0,6.0,8.0
b,d,c,4.0,NaN,16.0,1.0,15.0
c,a,d,6.0,24.0,16.0,16.0,9.0
d,d,d,6.0,NaN,NaN,12.0,7.0
c,d,c,48.0,21.0,17.0,0.0,15.0
b,a,a,38.0,25.0,16.0,4.0,4.0
c,a,a,1.0,9.0,12.0,17.0,6.0
b,b,b,23.0,34.0,14.0,14.0,3.0
a,a,d,37.0,9.0,18.0,1.0,11.0
c,?,a,31.0,35.0,28.0,2.0,15.0
b,a,c,8.0,15.0,16.0,1.0,2.0
?,c,d,13.0,35.0,NaN,16.0,0.0
c,b,?,39.0,21.0,19.0,9.0,3.0
b,b,a,33.0,13.0,8.0,2.0,9.0
?,b,?,41.0,13.0,14.0,19.0,12.0
b,c,a,8.0,22.0,1.0,7.0,8.0
?,d,c,4.0,29.0,8.0,1.0,18.0
c,a,a,29.0,12.0,11.0,9.0,7.0
d,b,d,NaN,18.0,0.0,5.0,13.0
?,c,d,9.0,NaN,22.0,5.0,17.0
d,c,c,16.0,16.0,8.0,16.0,17.0
d,b,d,NaN,2.0,11.0,18.0,0.0
d,?,?,15.0,31.0,27.0,11.0,0.0
b,d,b,49.0,2.0,NaN,17.0,7.0
d,a,c,2.0,4.0,18.0,9.0,19.0
b,?,c,23.0,19.0,17.0,10.0,5.0
?,c,b,34.0,15.0,20.0,9.0,13.0
b,?,a,9.0,31.0,26.0,15.0,7.0
b,b,a,16.0,7.0,25.0,5.0,12.0
d,d,d,5.0,NaN,14.0,1.0,6.0
a,b,a,12.0,18.0,22.0,5.0,6.0
?,?,b,37.0,24.0,13.0,2.0,7.0
d,c,?,11.0,33.0,20.0,6.0,14.0
d,d,a,28.0,20.0,15.0,8.0,0.0
d,d,?,35.0,33.0,24.0,7.0,16.0
c,c,b,48.0,17.0,12.0,18.0,10.0
c,d,c,16.0,NaN,7.0,17.0,15.0
?,d,c,48.0,18.0,25.0,14.0,13.0
c,d,d,3.0,4.0,5.0,3.0,7.0
a,?,d,18.0,33.0,NaN,2.0,14.0
a,b,d,39.0,26.0,28.0,7.0,7.0
c,c,?,41.0,19.0,3.0,0.0,3.0
b,d,c,NaN,26.0,20.0,10.0,0.0
d,c,c,37.0,25.0,19.0,0.0,12.0
a,c,?,47.0,13.0,16.0,12.0,16.0
d,d,c,NaN,NaN,28.0,10.0,18.0
d,?,b,27.0,NaN,4.0,17.0,5.0
c,d,d,6.0,NaN,12.0,2.0,2.0
c,d,?,NaN,32.0,1.0,16.0,3.0
a,d,b,43.0,NaN,15.0,1.0,14.0
b,b,b,22.0,0.0,24.0,14.0,0.0
?,a,d,9.0,34.0,10.0,9.0,11.0
b,c,d,17.0,27.0,23.0,9.0,7.0
c,d,a,26.0,10.0,19.0,18.0,11.0
?,a,c,35.0,11.0,20.0,7.0,12.0
d,a,?,34.0,10.0,17.0,3.0,4.0
d,d,d,2.0,7.0,NaN,14.0,9.0
c,c,c,20.0,9.0,17.0,19.0,2.0
a,b,?,2.0,23.0,NaN,7.0,10.0
d,d,b,10.0,15.0,12.0,12.0,18.0
b,?,d,39.0,14.0,9.0,19.0,9.0
b,a,a,NaN,31.0,17.0,18.0,10.0
a,?,c,12.0,31.0,17.0,16.0,14.0
d,a,b,39.0,8.0,20.0,11.0,8.0
?,b,c,45.0,16.0,21.0,10.0,4.0
d,b,c,29.0,5.0,NaN,17.0,11.0
c,?,b,6.0,NaN,9.0,17.0,10.0
a,b,a,28.0,30.0,16.0,10.0,0.0
?,b,?,NaN,0.0,NaN,5.0,2.0
a,d,d,16.0,14.0,11.0,13.0,18.0
?,b,b,19.0,15.0,29.0,0.0,17.0
d,c,a,8.0,19.0,26.0,4.0,18.0
d,?,?,28.0,25.0,28.0,19.0,14.0
b,a,c,24.0,NaN,15.0,0.0,3.0
d,c,a,42.0,29.0,24.0,12.0,7.0
c,d,d,17.0,35.0,13.0,17.0,5.0
c,c,b,3.0,32.0,18.0,17.0,13.0
d,d,b,24.0,5.0,12.0,3.0,9.0
a,b,d,25.0,5.0,11.0,11.0,17.0
c,a,d,13.0,18.0,NaN,2.0,7.0
b,?,b,8.0,14.0,19.0,6.0,12.0
a,?,?,14.0,16.0,27.0,19.0,5.0
c,c,?,7.0,20.0,13.0,12.0,16.0
a,b,b,30.0,10.0,13.0,16.0,14.0
?,?,d,16.0,4.0,NaN,13.0,15.0
a,c,?,45.0,3.0,NaN,1.0,1.0
c,a,a,16.0,17.0,10.0,2.0,0.0
c,?,c,13.0,20.0,11.0,4.0,18.0
d,a,b,24.0,1.0,NaN,19.0,17.0
a,?,a,4.0,26.0,17.0,6.0,7.0
d,a,b,20.0,9.0,1.0,9.0,13.0
a,?,?,26.0,19.0,19.0,14.0,8.0
b,d,a,34.0,2.0,4.0,14.0,1.0
c,?,b,29.0,36.0,2.0,4.0,13.0
d,a,?,42.0,39.0,1.0,5.0,8.0
