attr_categorical0,attr_categorical1,attr_categorical2,attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
c,a,d,5.0,10.0,7.0,6.0,19.0
a,c,a,3.0,1.0,7.0,16.0,15.0
d,b,c,4.0,NaN,6.0,15.0,1.0
a,b,b,6.0,14.0,8.0,6.0,18.0
?,b,d,7.0,8.0,4.0,15.0,14.0
c,a,d,NaN,27.0,8.0,1.0,12.0
?,c,d,9.0,NaN,0.0,5.0,8.0
c,c,b,6.0,5.0,1.0,18.0,9.0
a,b,a,6.0,16.0,5.0,18.0,17.0
d,c,d,1.0,27.0,1.0,10.0,14.0
?,c,?,1.0,17.0,9.0,17.0,10.0
a,c,d,8.0,9.0,3.0,5.0,7.0
c,?,d,4.0,27.0,3.0,1.0,15.0
b,?,c,3.0,7.0,1.0,14.0,6.0
?,c,b,NaN,NaN,0.0,3.0,6.0
a,a,a,0.0,29.0,8.0,10.0,14.0
d,?,c,7.0,10.0,1.0,7.0,12.0
b,?,a,5.0,19.0,NaN,18.0,12.0
?,c,c,3.0,6.0,2.0,11.0,11.0
c,?,b,3.0,13.0,0.0,5.0,5.0
d,d,?,7.0,18.0,5.0,12.0,5.0
?,b,a,NaN,20.0,4.0,3.0,9.0
a,?,c,1.0,11.0,6.0,17.0,10.0
b,a,?,3.0,15.0,7.0,6.0,5.0
?,?,b,5.0,2.0,3.0,11.0,0.0
a,b,a,2.0,21.0,3.0,3.0,5.0
a,?,?,6.0,NaN,4.0,17.0,2.0
?,c,b,7.0,18.0,8.0,0.0,18.0
a,b,?,9.0,25.0,0.0,6.0,19.0
d,c,c,0.0,21.0,3.0,3.0,1.0
?,d,c,3.0,17.0,0.0,15.0,10.0
a,a,c,6.0,25.0,5.0,5.0,11.0
d,c,a,6.0,21.0,3.0,16.0,9.0
?,b,d,1.0,16.0,2.0,15.0,4.0
a,?,b,4.0,29.0,9.0,13.0,9.0
c,a,d,2.0,13.0,NaN,18.0,4.0
d,b,d,8.0,10.0,3.0,3.0,18.0
b,d,d,NaN,27.0,1.0,7.0,6.0
d,?,b,9.0,11.0,2.0,17.0,9.0
b,?,d,NaN,2.0,5.0,5.0,17.0
a,?,c,6.0,16.0,8.0,17.0,11.0
c,c,d,2.0,6.0,3.0,19.0,2.0
a,a,a,0.0,20.0,0.0,12.0,9.0
c,b,b,3.0,24.0,NaN,2.0,0.0
a,?,c,NaN,22.0,1.0,16.0,15.0
?,?,b,2.0,17.0,8.0,18.0,4.0
?,b,?,0.0,23.0,3.0,0.0,2.0
a,b,d,NaN,20.0,2.0,8.0,5.0
?,b,?,2.0,4.0,0.0,4.0,4.0
?,d,a,6.0,24.0,4.0,15.0,2.0
?,?,?,1.0,26.0,2.0,5.0,10.0
c,?,d,1.0,26.0,7.0,1.0,0.0
a,a,c,8.0,NaN,2.0,0.0,7.0
d,a,?,2.0,22.0,6.0,5.0,11.0
c,a,b,7.0,9.0,1.0,14.0,6.0
d,b,b,0.0,23.0,2.0,14.0,0.0
d,c,?,NaN,22.0,6.0,6.0,2.0
c,c,a,6.0,23.0,2.0,5.0,4.0
c,b,c,9.0,NaN,2.0,2.0,4.0
d,b,?,9.0,15.0,NaN,12.0,13.0
?,?,a,1.0,16.0,NaN,5.0,7.0
a,?,d,2.0,10.0,NaN,0.0,4.0
a,c,d,9.0,4.0,9.0,13.0,3.0
d,b,?,6.0,29.0,2.0,9.0,10.0
a,b,d,7.0,27.0,5.0,13.0,2.0
a,d,?,5.0,17.0,0.0,18.0,18.0
c,b,a,5.0,1.0,2.0,6.0,1.0
a,?,c,0.0,17.0,5.0,10.0,17.0
d,d,?,1.0,20.0,8.0,2.0,11.0
b,c,a,2.0,5.0,6.0,8.0,3.0
?,c,a,5.0,26.0,2.0,14.0,15.0
d,d,a,3.0,17.0,1.0,16.0,10.0
a,?,b,7.0,7.0,1.0,6.0,4.0
?,c,b,2.0,16.0,NaN,9.0,16.0
a,b,d,0.0,4.0,5.0,1.0,16.0
b,d,a,2.0,2.0,4.0,3.0,15.0
c,c,b,9.0,3.0,NaN,0.0,3.0
c,d,a,3.0,21.0,2.0,18.0,13.0
d,c,a,6.0,13.0,NaN,1.0,2.0
?,d,c,4.0,24.0,4.0,13.0,19.0
?,c,b,9.0,9.0,0.0,13.0,18.0
b,b,c,2.0,16.0,NaN,9.0,16.0
d,d,?,2.0,6.0,8.0,0.0,3.0
c,a,d,1.0,25.0,1.0,16.0,10.0
?,a,?,NaN,10.0,4.0,5.0,0.0
a,a,b,0.0,3.0,1.0,14.0,11.0
c,?,?,5.0,11.0,4.0,3.0,6.0
a,?,b,NaN,13.0,8.0,8.0,6.0
d,a,b,4.0,1.0,9.0,12.0,14.0
a,?,b,0.0,13.0,1.0,1.0,5.0
a,d,b,4.0,17.0,1.0,12.0,7.0
d,a,d,1.0,24.0,1.0,10.0,8.0
a,a,d,7.0,24.0,2.0,12.0,11.0
a,d,d,2.0,0.0,5.0,10.0,10.0
?,b,d,7.0,15.0,0.0,10.0,6.0
?,c,a,0.0,18.0,9.0,0.0,2.0
a,a,c,6.0,20.0,5.0,6.0,19.0
b,d,c,7.0,6.0,6.0,5.0,8.0
c,b,a,5.0,5.0,0.0,6.0,17.0
a,c,c,6.0,21.0,6.0,5.0,17.0
