attr_categorical0,attr_categorical1,attr_categorical2,attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
a,b,c,2.0,3.0,17.0,15.0,3.0
d,c,b,26.0,6.0,1.0,8.0,13.0
a,b,b,5.0,0.0,2.0,0.0,17.0
b,a,b,4.0,8.0,17.0,17.0,6.0
b,b,d,4.0,3.0,13.0,18.0,14.0
d,d,a,20.0,3.0,16.0,16.0,16.0
a,a,c,29.0,8.0,1.0,16.0,18.0
b,a,b,6.0,1.0,0.0,5.0,13.0
a,c,b,9.0,4.0,0.0,15.0,11.0
d,a,b,4.0,3.0,1.0,8.0,15.0
b,b,a,23.0,8.0,16.0,6.0,7.0
b,d,a,16.0,1.0,2.0,9.0,1.0
d,a,c,0.0,2.0,16.0,1.0,7.0
b,a,d,15.0,7.0,13.0,12.0,19.0
a,c,a,18.0,8.0,10.0,12.0,8.0
a,a,c,1.0,2.0,2.0,7.0,13.0
d,d,a,27.0,3.0,14.0,3.0,1.0
d,a,d,4.0,3.0,19.0,11.0,6.0
b,c,b,9.0,0.0,0.0,18.0,19.0
c,b,b,29.0,1.0,4.0,11.0,5.0
c,c,d,26.0,1.0,0.0,9.0,4.0
d,d,c,20.0,4.0,10.0,11.0,17.0
b,d,b,2.0,5.0,18.0,15.0,6.0
c,b,b,5.0,4.0,16.0,9.0,3.0
c,d,b,23.0,7.0,6.0,0.0,18.0
b,b,c,12.0,7.0,5.0,8.0,16.0
c,d,c,11.0,4.0,3.0,8.0,3.0
d,d,d,5.0,5.0,8.0,14.0,14.0
d,b,a,21.0,7.0,9.0,16.0,10.0
a,a,d,27.0,6.0,19.0,1.0,14.0
a,b,c,27.0,8.0,4.0,8.0,7.0
a,b,b,22.0,3.0,3.0,15.0,8.0
d,a,c,15.0,1.0,3.0,4.0,17.0
d,b,d,2.0,2.0,2.0,2.0,3.0
b,c,c,15.0,5.0,7.0,10.0,2.0
a,c,b,2.0,4.0,4.0,3.0,14.0
c,b,b,17.0,9.0,5.0,2.0,6.0
c,a,a,14.0,4.0,6.0,2.0,9.0
b,a,d,24.0,1.0,6.0,13.0,19.0
d,c,a,6.0,4.0,7.0,13.0,13.0
d,a,a,29.0,4.0,4.0,5.0,4.0
b,d,c,12.0,3.0,12.0,6.0,6.0
c,a,c,6.0,2.0,19.0,15.0,15.0
d,b,a,27.0,5.0,5.0,15.0,10.0
c,b,d,26.0,4.0,10.0,18.0,12.0
a,a,c,15.0,5.0,5.0,11.0,19.0
b,b,c,28.0,8.0,19.0,9.0,8.0
a,d,c,3.0,8.0,16.0,3.0,8.0
b,d,b,18.0,5.0,17.0,7.0,11.0
c,c,b,7.0,1.0,14.0,1.0,0.0
c,d,c,22.0,6.0,0.0,12.0,8.0
c,d,d,14.0,8.0,3.0,5.0,12.0
b,c,b,23.0,7.0,1.0,8.0,3.0
a,d,c,21.0,4.0,15.0,11.0,4.0
a,d,b,8.0,0.0,18.0,15.0,17.0
d,d,c,11.0,3.0,1.0,1.0,8.0
a,a,b,1.0,5.0,4.0,12.0,12.0
b,c,b,28.0,4.0,11.0,0.0,10.0
a,c,c,11.0,8.0,17.0,4.0,8.0
a,a,b,16.0,4.0,16.0,9.0,9.0
d,d,c,16.0,9.0,12.0,7.0,6.0
c,c,a,12.0,6.0,16.0,14.0,1.0
d,b,a,19.0,3.0,8.0,3.0,12.0
a,b,c,26.0,8.0,18.0,5.0,4.0
a,a,b,21.0,2.0,6.0,7.0,14.0
c,a,a,19.0,7.0,13.0,1.0,7.0
d,c,c,2.0,1.0,11.0,13.0,9.0
a,b,a,27.0,9.0,16.0,10.0,12.0
d,b,a,16.0,7.0,2.0,16.0,14.0
d,d,c,2.0,5.0,8.0,19.0,11.0
a,d,d,0.0,5.0,1.0,0.0,3.0
a,c,a,14.0,8.0,1.0,6.0,8.0
c,c,c,4.0,7.0,14.0,4.0,8.0
b,d,d,3.0,8.0,15.0,11.0,12.0
b,d,c,15.0,9.0,17.0,1.0,15.0
d,a,c,14.0,7.0,7.0,14.0,0.0
b,d,a,28.0,1.0,12.0,15.0,6.0
c,d,b,3.0,5.0,9.0,7.0,17.0
a,d,d,18.0,5.0,14.0,4.0,14.0
b,d,b,27.0,5.0,17.0,4.0,11.0
d,c,c,15.0,3.0,11.0,13.0,18.0
a,d,b,3.0,6.0,9.0,16.0,11.0
a,b,c,29.0,7.0,2.0,13.0,14.0
b,c,b,23.0,1.0,0.0,7.0,15.0
b,b,a,1.0,3.0,9.0,9.0,19.0
b,b,a,2.0,9.0,8.0,0.0,6.0
a,c,b,6.0,3.0,17.0,10.0,7.0
d,c,b,7.0,9.0,17.0,15.0,13.0
d,b,b,24.0,6.0,13.0,15.0,16.0
a,b,c,3.0,0.0,17.0,6.0,12.0
c,c,b,5.0,0.0,11.0,3.0,5.0
b,a,d,14.0,0.0,5.0,0.0,5.0
d,c,a,19.0,6.0,0.0,6.0,9.0
c,d,c,25.0,3.0,10.0,18.0,1.0
d,b,c,28.0,1.0,1.0,11.0,15.0
b,b,b,12.0,9.0,13.0,4.0,9.0
b,d,d,3.0,4.0,11.0,1.0,10.0
d,b,a,9.0,7.0,12.0,6.0,5.0
d,a,a,19.0,9.0,19.0,18.0,1.0
c,d,a,20.0,5.0,0.0,19.0,9.0
