attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
9.0,17.0,35.0,3.0,16.0
2.0,0.0,24.0,0.0,2.0
8.0,1.0,13.0,NaN,5.0
4.0,NaN,15.0,NaN,0.0
3.0,15.0,20.0,18.0,2.0
3.0,18.0,NaN,18.0,11.0
6.0,14.0,31.0,5.0,19.0
8.0,5.0,28.0,NaN,18.0
3.0,15.0,14.0,17.0,NaN
7.0,7.0,8.0,16.0,5.0
NaN,16.0,25.0,15.0,10.0
4.0,15.0,17.0,7.0,4.0
0.0,4.0,7.0,NaN,7.0
6.0,4.0,6.0,1.0,5.0
2.0,2.0,36.0,12.0,4.0
NaN,1.0,1.0,7.0,5.0
4.0,17.0,20.0,16.0,7.0
4.0,1.0,NaN,3.0,0.0
2.0,6.0,22.0,1.0,4.0
7.0,7.0,13.0,5.0,5.0
3.0,NaN,20.0,9.0,0.0
8.0,15.0,10.0,10.0,6.0
5.0,11.0,NaN,3.0,NaN
1.0,9.0,33.0,10.0,0.0
4.0,15.0,12.0,7.0,6.0
9.0,10.0,3.0,14.0,10.0
8.0,3.0,NaN,15.0,14.0
9.0,12.0,0.0,17.0,15.0
1.0,NaN,28.0,19.0,7.0
2.0,0.0,13.0,10.0,0.0
6.0,2.0,16.0,11.0,13.0
2.0,2.0,NaN,7.0,2.0
NaN,9.0,32.0,6.0,13.0
3.0,11.0,1.0,2.0,16.0
3.0,4.0,27.0,3.0,19.0
NaN,14.0,25.0,19.0,5.0
6.0,NaN,10.0,1.0,19.0
6.0,7.0,27.0,12.0,13.0
1.0,0.0,35.0,NaN,17.0
8.0,NaN,NaN,15.0,7.0
1.0,9.0,22.0,18.0,8.0
NaN,4.0,7.0,10.0,7.0
NaN,11.0,21.0,12.0,4.0
0.0,10.0,23.0,19.0,6.0
1.0,15.0,2.0,NaN,19.0
9.0,8.0,7.0,5.0,13.0
4.0,12.0,14.0,13.0,8.0
5.0,14.0,28.0,5.0,17.0
2.0,7.0,3.0,5.0,NaN
0.0,1.0,31.0,1.0,9.0
4.0,2.0,20.0,6.0,16.0
0.0,4.0,29.0,5.0,18.0
8.0,4.0,33.0,3.0,NaN
4.0,NaN,36.0,5.0,NaN
5.0,10.0,23.0,15.0,4.0
2.0,2.0,30.0,8.0,17.0
7.0,1.0,5.0,12.0,8.0
2.0,NaN,34.0,2.0,19.0
4.0,8.0,25.0,17.0,6.0
0.0,12.0,10.0,5.0,17.0
2.0,13.0,14.0,13.0,5.0
0.0,6.0,12.0,12.0,9.0
9.0,4.0,NaN,11.0,11.0
9.0,9.0,13.0,NaN,3.0
NaN,1.0,7.0,16.0,NaN
9.0,13.0,NaN,9.0,19.0
3.0,14.0,15.0,17.0,16.0
6.0,10.0,27.0,6.0,4.0
6.0,11.0,33.0,14.0,18.0
NaN,17.0,18.0,11.0,9.0
5.0,NaN,22.0,9.0,NaN
3.0,17.0,5.0,13.0,19.0
7.0,11.0,27.0,13.0,13.0
0.0,7.0,NaN,5.0,2.0
8.0,6.0,19.0,7.0,NaN
9.0,NaN,28.0,NaN,9.0
7.0,2.0,22.0,10.0,2.0
NaN,NaN,30.0,NaN,9.0
0.0,19.0,7.0,4.0,9.0
9.0,18.0,12.0,13.0,2.0
4.0,3.0,29.0,15.0,18.0
0.0,6.0,2.0,19.0,2.0
1.0,13.0,NaN,13.0,NaN
6.0,3.0,11.0,15.0,12.0
2.0,8.0,NaN,13.0,19.0
NaN,11.0,0.0,16.0,NaN
8.0,6.0,25.0,14.0,15.0
2.0,3.0,24.0,NaN,1.0
3.0,2.0,35.0,16.0,14.0
1.0,4.0,38.0,2.0,16.0
NaN,5.0,27.0,7.0,12.0
9.0,NaN,21.0,16.0,9.0
1.0,17.0,29.0,17.0,14.0
3.0,17.0,6.0,5.0,15.0
2.0,NaN,0.0,1.0,0.0
2.0,3.0,21.0,3.0,11.0
1.0,5.0,14.0,1.0,17.0
3.0,9.0,23.0,15.0,4.0
0.0,19.0,15.0,15.0,5.0
3.0,18.0,9.0,5.0,12.0
